meter_urn,description,meter_type,energy_type,thermal_mode,group_name,anomaly_target,redundant_pair,role_summary,system_role,directionality,upstream_relation,downstream_relation,ops_interpretation,modeling_recommendation,note,assumption_note
H1.Z20,CHP 전기 생산 메인,전기,생산,-,chp,P,H1.ZE20,CHP 발전 전력 계통,발전 메인/이중화 감시,단방향(생산 중심),CHP 발전기 출력측,전력 계통 또는 부하측으로 연계,"발전 출력 급감/급증, 장시간 정지, redundant와 불일치 여부 확인",생산 전력 모델 또는 redundant pair 비교 모델,"H1 prefix는 physical location / sub-distribution group 의미, 이중화 계량기 쌍 존재",redundant pair 비교 해석 가능
H1.ZE20,CHP 전기 생산 redundant,전기,생산,-,chp,P,H1.Z20,CHP 발전 전력 계통,발전 메인/이중화 감시,단방향(생산 중심),CHP 발전기 출력측,전력 계통 또는 부하측으로 연계,"발전 출력 급감/급증, 장시간 정지, redundant와 불일치 여부 확인",생산 전력 모델 또는 redundant pair 비교 모델,"H1 prefix는 physical location / sub-distribution group 의미, 이중화 계량기 쌍 존재",redundant pair 비교 해석 가능
V.Z84,PV Parking Lot,전기,생산,-,pv,P,V.ZE84,태양광 발전 전력 계통,PV 그룹별 발전량 감시,단방향(생산 중심),태양광 인버터/집합 출력측,건물 전력 계통으로 연계,"일사량 대비 출력 저하, 음영/센서/인버터 이상 여부 확인",기상(Igm) 연계 예측/이상탐지에 적합,"V prefix는 physical location / sub-distribution group 의미, 2019-06 설치 시작, 이중화 계량기 쌍 존재",redundant pair 비교 해석 가능
V.ZE84,PV Parking Lot redundant,전기,생산,-,pv,P,V.Z84,태양광 발전 전력 계통,PV 그룹별 발전량 감시,단방향(생산 중심),태양광 인버터/집합 출력측,건물 전력 계통으로 연계,"일사량 대비 출력 저하, 음영/센서/인버터 이상 여부 확인",기상(Igm) 연계 예측/이상탐지에 적합,"V prefix는 physical location / sub-distribution group 의미, 2022-11 redundant 설치, 이중화 계량기 쌍 존재",redundant pair 비교 해석 가능
H1.Z310,PV Emission Lab,전기,생산,-,pv,P,,태양광 발전 전력 계통,PV 그룹별 발전량 감시,단방향(생산 중심),태양광 인버터/집합 출력측,건물 전력 계통으로 연계,"일사량 대비 출력 저하, 음영/센서/인버터 이상 여부 확인",기상(Igm) 연계 예측/이상탐지에 적합,"H1 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작",
H2.Z311,PV Office Building,전기,생산,-,pv,P,,태양광 발전 전력 계통,PV 그룹별 발전량 감시,단방향(생산 중심),태양광 인버터/집합 출력측,건물 전력 계통으로 연계,"일사량 대비 출력 저하, 음영/센서/인버터 이상 여부 확인",기상(Igm) 연계 예측/이상탐지에 적합,"H2 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작",
H3.Z312,PV Design Studio,전기,생산,-,pv,P,,태양광 발전 전력 계통,PV 그룹별 발전량 감시,단방향(생산 중심),태양광 인버터/집합 출력측,건물 전력 계통으로 연계,"일사량 대비 출력 저하, 음영/센서/인버터 이상 여부 확인",기상(Igm) 연계 예측/이상탐지에 적합,"H3 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작",
H1.Z16,CM1,전기,소비,-,cooling_central,P,,중앙 냉각기 전력 계통,중앙 냉동기/냉각기 부하 감시,단방향(소비 중심),중앙 설비 전원 공급측,냉방 설비 및 열량계와 연계 해석,"냉방 부하 대비 전력 과다, 패턴 급변, 야간 지속 부하 확인",전력 예측과 이상탐지 모두 우선 적용 대상,,
H1.Z11,CM2-1,전기,소비,-,cooling_central,P,,중앙 냉각기 전력 계통,중앙 냉동기/냉각기 부하 감시,단방향(소비 중심),중앙 설비 전원 공급측,냉방 설비 및 열량계와 연계 해석,"냉방 부하 대비 전력 과다, 패턴 급변, 야간 지속 부하 확인",전력 예측과 이상탐지 모두 우선 적용 대상,,
H1.Z12,CM2-2,전기,소비,-,cooling_central,P,,중앙 냉각기 전력 계통,중앙 냉동기/냉각기 부하 감시,단방향(소비 중심),중앙 설비 전원 공급측,냉방 설비 및 열량계와 연계 해석,"냉방 부하 대비 전력 과다, 패턴 급변, 야간 지속 부하 확인",전력 예측과 이상탐지 모두 우선 적용 대상,,
